Generation,0,1,2,3,4
85,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
86,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
87,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
88,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
89,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
90,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
91,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
92,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
93,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
94,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
95,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
96,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
97,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
98,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
99,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
100,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
101,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
102,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
103,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
104,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
105,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
106,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
107,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
108,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
109,-14.4478278,-14.4478278,-16.06012946,-14.4478278,-14.43557092
110,-14.4478278,-14.4478278,-16.06012946,-14.4478278,-14.43557092
111,-14.4478278,-14.4478278,-16.06012946,-14.4478278,-14.43557092
