Generation,0,1,2,3,4
32,-16.7778904,-15.29576795,-16.76999361,-15.29576795,-15.00068
33,-16.7778904,-15.29576795,-16.76999361,-15.29576795,-15.00068
34,-16.7778904,-15.29576795,-16.76999361,-15.29576795,-15.00068
35,-16.7778904,-15.29576795,-16.76999361,-15.29576795,-15.00068
36,-16.7778904,-14.7778888,-16.76999361,-14.88888,-15.00068
37,-15.7778888,-14.7778888,-16.76999361,-14.88888,-15.00068
38,-15.7778888,-14.7778888,-16.76999361,-14.88888,-15.00068
39,-15.7778888,-14.7778888,-16.76999361,-14.88888,-15.00068
40,-15.7778888,-14.7778888,-16.76999361,-14.88888,-15.00068
41,-15.7778888,-14.7778888,-16.76999361,-14.88888,-15.00068
42,-15.7778888,-14.7778888,-16.76999361,-14.88888,-15.00068
43,-15.7778888,-14.7778888,-16.76999361,-14.88888,-15.00068
44,-15.7778888,-14.7778888,-16.76999361,-14.88888,-15.00068
45,-15.7778888,-14.7778888,-16.76999361,-14.88888,-15.00068
46,-15.7778888,-14.7778888,-16.76999361,-14.88888,-15.00068
47,-15.7778888,-14.7778888,-16.76999361,-14.5555,-15.00068
48,-15.7778888,-14.7778888,-16.76999361,-14.5555,-15.00068
49,-15.7778888,-14.7778888,-16.76999361,-14.5555,-15.00068
50,-15.7778888,-14.7778888,-16.76999361,-14.5555,-15.00068
51,-15.7778888,-14.7778888,-16.76999361,-14.5555,-15.00068
52,-15.7778888,-14.7778888,-16.76999361,-14.5555,-15.00068
53,-15.7778888,-14.7778888,-16.76999361,-14.5555,-15.00068
54,-15.7778888,-14.7778888,-16.76999361,-14.5555,-15.00068
55,-15.7778888,-14.7778888,-16.76999361,-14.5555,-15.00068
56,-15.7778888,-14.7778888,-16.76999361,-14.5555,-15.00068
57,-15.7778888,-14.3555,-16.76999361,-14.5555,-15.00068
58,-15.7778888,-14.3555,-16.76999361,-14.5555,-15.00068
59,-15.7778888,-14.3555,-16.76999361,-14.5555,-15.00068
60,-15.7778888,-14.3555,-16.76999361,-14.5555,-15.00068
61,-15.7778888,-14.3555,-16.76999361,-14.5555,-15.00068
62,-15.7778888,-14.3555,-16.76999361,-14.5555,-15.00068
63,-15.7778888,-14.3555,-16.76999361,-14.5555,-15.00068
64,-15.7778888,-14.3555,-16.76999361,-14.5555,-15.00068
65,-15.7778888,-14.3555,-16.76999361,-14.5555,-15.00068
66,-15.7778888,-14.3555,-16.76999361,-14.5555,-15.00068
67,-15.7778888,-14.3555,-16.76999361,-14.5555,-15.00068
68,-15.7778888,-14.3555,-16.76999361,-14.5555,-15.00068
69,-15.7778888,-14.3555,-16.76999361,-14.5555,-15.00068
70,-15.7778888,-14.3555,-16.76999361,-14.5555,-15.00068
71,-15.7778888,-14.3555,-16.76999361,-14.4478278,-15.00068
72,-15.7778888,-14.3555,-16.76999361,-14.4478278,-15.00068
73,-15.7778888,-14.3555,-16.76999361,-14.4478278,-15.00068
74,-15.7778888,-14.3555,-16.76999361,-14.4478278,-15.00068
75,-15.7778888,-14.3555,-16.76999361,-14.4478278,-14.43557092
76,-15.7778888,-14.3555,-16.76999361,-14.4478278,-14.43557092
77,-15.7778888,-14.3555,-16.76999361,-14.4478278,-14.43557092
78,-15.7778888,-14.3555,-16.76999361,-14.4478278,-14.43557092
79,-15.7778888,-14.3555,-16.76999361,-14.4478278,-14.43557092
80,-15.7778888,-14.3555,-16.76999361,-14.4478278,-14.43557092
81,-15.7778888,-14.3555,-16.76999361,-14.4478278,-14.43557092
82,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
83,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
84,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
85,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
86,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
87,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
88,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
89,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
90,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
91,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
92,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
93,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
94,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
95,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
96,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
97,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
98,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
99,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
100,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
101,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
102,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
103,-15.7778888,-14.4478278,-16.76999361,-14.4478278,-14.43557092
